Date,New High,New High %,New Low,New Low %,Advancing,Advancing %,Declining,Declining %
2026-06-22,262,50.6%,256,49.4%,2368,42.3%,3015,53.9%
2026-06-23,175,42.6%,236,57.4%,2758,49.2%,2602,46.5%
2026-06-25,310,58.3%,222,41.7%,2729,48.7%,2635,47.1%
2026-06-28,412,65.9%,213,34.1%,3684,65.7%,1728,30.8%
2026-06-30,314,67.2%,153,32.8%,2825,50.4%,2566,45.8%
2026-07-01,317,66.2%,162,33.8%,2581,46.1%,2802,50.0%
2026-07-02,418,83.9%,80,16.1%,3086,55.0%,2344,41.8%
2026-08-31,42,41.2%,60,58.8%,1305,23.2%,1921,34.1%
2026-09-01,38,33.9%,74,66.1%,1472,26.2%,1487,26.4%
2026-09-02,78,63.4%,45,36.6%,2007,35.6%,1261,22.4%
2026-09-03,44,55.0%,36,45.0%,1839,32.7%,1203,21.4%
